"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2025-12-31","367.26","369.79","372.00","367.15","16.03M","-0.53%"
"2025-12-30","369.20","367.10","371.00","366.56","19.03M","-0.03%"
"2025-12-29","369.31","374.00","374.43","368.00","24.12M","-1.37%"
"2025-12-26","374.43","372.96","378.00","370.10","25.72M","0.38%"
"2025-12-25","373.01","374.21","374.21","369.12","20.34M","-0.69%"
"2025-12-24","375.60","378.08","378.08","372.00","21.09M","-0.66%"
"2025-12-23","378.10","372.00","380.50","371.60","23.60M","1.68%"
"2025-12-22","371.84","376.00","377.99","368.10","25.49M","-0.58%"
"2025-12-19","374.00","374.08","377.68","370.80","17.56M","0.54%"
"2025-12-18","372.00","379.57","380.95","370.01","29.64M","-2.98%"
"2025-12-17","383.42","376.45","384.50","375.06","22.26M","1.32%"
"2025-12-16","378.41","386.00","389.08","378.03","19.12M","-1.84%"
"2025-12-15","385.50","391.50","394.97","385.21","18.27M","-1.61%"
"2025-12-12","391.80","392.00","393.39","385.50","24.00M","0.72%"
"2025-12-11","388.99","384.90","398.86","383.38","28.22M","1.73%"
"2025-12-10","382.38","385.05","388.00","377.26","19.43M","-1.34%"
"2025-12-9","387.59","391.50","392.26","386.00","18.69M","-1.25%"
"2025-12-8","392.50","390.43","395.38","385.50","21.66M","0.88%"
"2025-12-5","389.09","387.20","389.31","382.00","23.29M","1.50%"
"2025-12-4","383.35","379.19","383.60","375.15","19.17M","1.93%"
"2025-12-3","376.08","380.09","383.37","375.00","13.99M","-1.05%"
"2025-12-2","380.08","383.50","384.98","377.40","16.35M","-0.75%"
"2025-12-1","382.97","374.76","382.97","374.03","26.75M","2.62%"
"2025-11-28","373.20","370.50","375.48","366.16","20.34M","0.54%"
"2025-11-27","371.20","373.00","378.88","370.00","22.20M","-0.43%"
"2025-11-26","372.82","375.50","375.50","370.07","18.91M","0.12%"
"2025-11-25","372.36","375.00","379.66","370.59","20.63M","0.49%"
"2025-11-24","370.55","373.80","374.90","367.18","22.85M","0.15%"
"2025-11-21","370.00","375.00","383.00","370.00","31.63M","-2.48%"
"2025-11-20","379.39","394.90","395.00","377.01","33.67M","-2.99%"
"2025-11-19","391.10","385.50","398.44","384.96","29.27M","1.58%"
"2025-11-18","385.00","389.00","398.63","381.00","39.57M","-1.48%"
"2025-11-17","390.78","388.00","392.40","382.50","47.69M","-3.30%"
"2025-11-14","404.12","407.00","414.60","403.88","24.17M","-2.76%"
"2025-11-13","415.60","385.05","421.30","385.05","56.27M","7.56%"
"2025-11-12","386.38","390.78","392.99","383.98","21.30M","0.20%"
"2025-11-11","385.60","386.00","394.77","384.50","19.30M","0.28%"
"2025-11-10","384.51","398.40","400.31","383.32","23.90M","-2.75%"
"2025-11-7","395.37","393.50","397.51","388.88","16.55M","0.17%"
"2025-11-6","394.68","390.00","399.49","388.70","23.45M","1.54%"
"2025-11-5","388.70","372.85","393.00","372.00","31.14M","2.57%"
"2025-11-4","378.95","383.06","386.50","374.00","23.94M","-2.04%"
"2025-11-3","386.86","387.00","391.91","375.77","26.37M","-0.49%"
"2025-10-31","388.77","398.00","406.80","388.20","34.05M","-2.39%"
"2025-10-30","398.29","405.98","409.08","396.83","34.31M","-0.43%"
"2025-10-29","400.00","386.00","400.04","384.70","34.47M","3.50%"
"2025-10-28","386.48","386.16","393.80","383.02","28.71M","0.08%"
"2025-10-27","386.18","393.00","393.00","376.57","40.45M","0.11%"
"2025-10-24","385.77","379.97","387.80","378.00","32.04M","2.48%"
"2025-10-23","376.45","373.80","378.80","369.00","24.00M","0.96%"
"2025-10-22","372.86","375.90","378.88","368.20","21.95M","-0.81%"
"2025-10-21","375.90","373.00","381.35","363.10","44.63M","2.56%"
"2025-10-20","366.50","365.00","368.89","359.53","28.43M","2.33%"
"2025-10-17","358.14","367.50","375.00","356.99","31.91M","-2.81%"
"2025-10-16","368.50","367.50","373.90","364.50","27.63M","-0.22%"
"2025-10-15","369.30","358.50","369.71","354.76","36.99M","3.16%"
"2025-10-14","358.00","381.00","385.80","355.77","49.64M","-4.41%"
"2025-10-13","374.50","362.86","384.60","362.86","47.15M","-1.95%"
"2025-10-10","381.95","401.00","403.80","379.01","53.31M","-6.82%"
"2025-10-9","409.89","399.98","424.36","399.74","41.21M","1.96%"
"2025-9-30","402.00","396.00","408.88","396.00","33.03M","1.17%"
"2025-9-29","397.37","386.34","399.89","386.01","38.96M","4.46%"
"2025-9-26","380.40","392.02","399.99","380.00","36.26M","-3.17%"
"2025-9-25","392.85","376.60","402.59","376.47","46.64M","3.40%"
"2025-9-24","379.93","371.00","380.00","366.06","38.31M","3.20%"
"2025-9-23","368.15","368.00","376.96","360.00","34.85M","-0.51%"
"2025-9-22","370.05","370.50","372.72","362.78","28.53M","0.42%"
"2025-9-19","368.49","365.00","375.71","361.72","33.91M","0.44%"
"2025-9-18","366.89","374.59","380.00","360.80","51.89M","-2.71%"
"2025-9-17","377.10","356.80","381.88","354.00","54.38M","6.70%"
"2025-9-16","353.42","356.11","359.00","348.50","37.74M","-0.36%"
"2025-9-15","354.70","346.01","371.52","344.02","71.84M","9.14%"
"2025-9-12","325.00","325.90","329.90","322.20","33.87M","0.76%"
"2025-9-11","322.55","315.55","322.98","309.04","38.03M","2.06%"
